tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,startdate,enddate
216,46:12.1,49:48.6,3002,South End Ave & Liberty St,40.711512,-74.015756,195,Liberty St & Broadway,40.70905623,-74.01043382,34072,Subscriber,1980,2,3/1/2020,3/1/2020
235,49:15.2,53:10.9,326,E 11 St & 1 Ave,40.72953837,-73.98426726,285,Broadway & E 14 St,40.73454567,-73.99074142,26036,Subscriber,1988,1,3/1/2020,3/1/2020
2219,50:26.9,27:26.7,532,S 5 Pl & S 5 St,40.710451,-73.960876,3244,University Pl & E 8 St,40.73143724,-73.99490342,32943,Subscriber,1992,1,3/1/2020,3/1/2020
1552,51:25.7,17:18.1,3374,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,3283,W 89 St & Columbus Ave,40.7882213,-73.97041561,28779,Customer,1995,1,3/1/2020,3/1/2020
403,52:29.2,59:12.9,504,1 Ave & E 16 St,40.73221853,-73.98165557,3812,University Pl & E 14 St,40.734814,-73.992085,34083,Subscriber,1988,2,3/1/2020,3/1/2020
350,53:05.3,58:55.6,3690,Park Pl & Church St,40.71334184,-74.00935516,257,Lispenard St & Broadway,40.71939226,-74.00247214,29772,Subscriber,1987,1,3/1/2020,3/1/2020
248,58:48.5,02:56.9,3461,Murray St & Greenwich St,40.71485151,-74.01122332,224,Spruce St & Nassau St,40.71146364,-74.00552427,29984,Subscriber,1972,1,3/1/2020,3/1/2020
1877,01:29.7,32:47.7,3154,E 77 St & 3 Ave,40.77314236,-73.95856158,3140,1 Ave & E 78 St,40.77140426,-73.9535166,18178,Subscriber,1985,1,3/1/2020,3/1/2020
245,02:14.6,06:20.5,3812,University Pl & E 14 St,40.734814,-73.992085,223,W 13 St & 7 Ave,40.73781509,-73.99994661,40652,Subscriber,1981,1,3/1/2020,3/1/2020
314,04:56.4,10:10.5,376,John St & William St,40.70862144,-74.00722156,3786,Division St & Bowery,40.714193,-73.996732,31966,Subscriber,1993,1,3/1/2020,3/1/2020
409,05:43.3,12:32.3,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,500,Broadway & W 51 St,40.76228826,-73.98336183,41728,Subscriber,1968,1,3/1/2020,3/1/2020
447,08:09.4,15:36.5,3656,E 2 St & Avenue A,40.72307749,-73.98583621,350,Clinton St & Grand St,40.71559509,-73.9870295,35179,Subscriber,1995,1,3/1/2020,3/1/2020
342,10:11.9,15:54.0,3905,4 Ave & E 12 St,40.732647,-73.99011,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,41419,Subscriber,1973,1,3/1/2020,3/1/2020
816,12:07.2,25:43.3,216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,310,State St & Smith St,40.68926942,-73.98912867,32112,Subscriber,1990,1,3/1/2020,3/1/2020
179,12:52.3,15:51.4,3235,E 41 St & Madison Ave,40.75216528,-73.97992194,167,E 39 St & 3 Ave,40.7489006,-73.97604882,40170,Subscriber,1971,1,3/1/2020,3/1/2020
512,16:06.6,24:39.6,268,Howard St & Centre St,40.71910537,-73.99973337,410,Suffolk St & Stanton St,40.72066442,-73.98517977,38923,Subscriber,1995,1,3/1/2020,3/1/2020
693,16:35.8,28:09.7,3350,W 100 St & Broadway,40.7973721,-73.97041192,3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,41910,Subscriber,1979,1,3/1/2020,3/1/2020
1280,19:53.9,41:14.3,529,W 42 St & 8 Ave,40.7575699,-73.99098507,3244,University Pl & E 8 St,40.73143724,-73.99490342,38237,Subscriber,1987,0,3/1/2020,3/1/2020
1682,22:58.2,51:00.5,530,11 Ave & W 59 St,40.77149671,-73.99046034,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,31243,Subscriber,1959,1,3/1/2020,3/1/2020
